tf,target,mode,weight,confidence
ESR2,CTSD,Activation,1.0,A
ETS1,ITGB3,Activation,1.0,A
ESR2,CD68,Activation,1.0,A
ESR1,YWHAQ,Activation,1.0,A
ESR1,UGT2B15,Activation,1.0,A
ESR1,MICB,Activation,1.0,A
ESR1,CXCL12,Activation,1.0,A
ESR1,CTNNB1,Repression,-1.0,A
ESR1,CHAT,Activation,1.0,A
EGR1,FCER2,Repression,-1.0,A
EGR1,EP300,Activation,1.0,A
EGR1,CDK5R1,Activation,1.0,A
EGR1,IMPDH2,Activation,1.0,A
E2F1,MEFV,Activation,1.0,A
E2F1,MCM5,Activation,1.0,A
E2F1,MAPK8,Activation,1.0,A
E2F1,MAP1LC3A,Activation,1.0,A
E2F1,IL1B,Activation,1.0,A
E2F1,GINS3,Activation,1.0,A
E2F1,FLT1,Activation,1.0,A
E2F1,FHIT,Repression,-1.0,A
E2F1,KDR,Activation,1.0,A
E2F1,FANCA,Activation,1.0,A
E2F1,ETV4,Activation,1.0,A
E2F1,ERCC1,Activation,1.0,A
E2F1,DRAM1,Activation,1.0,A
E2F1,CUX1,Activation,1.0,A
E2F1,CTNNBIP1,Activation,1.0,A
E2F1,DNMT1,Activation,1.0,A
E2F1,CASP7,Activation,1.0,A
E2F1,AURKA,Activation,1.0,A
DNMT1,TIMP3,Repression,-1.0,A
DNMT1,MSH2,Activation,1.0,A
DNMT1,SFRP5,Activation,1.0,A
E2F1,MYB,Activation,1.0,A
ETS1,ERG,Activation,1.0,A
E2F1,MYH10,Activation,1.0,A
E2F1,PTPRO,Activation,1.0,A
EGR1,AKR1B1,Activation,1.0,A
E2F8,E2F1,Repression,-1.0,A
E2F7,E2F1,Repression,-1.0,A
E2F5,MYC,Repression,-1.0,A
E2F4,TOPBP1,Repression,-1.0,A
E2F4,MCM10,Repression,-1.0,A
E2F4,LIN54,Activation,1.0,A
E2F4,HCFC1,Activation,1.0,A
E2F4,CUX1,Activation,1.0,A
E2F4,CDK2,Activation,1.0,A
E2F4,AURKB,Activation,1.0,A
E2F3,PLK1,Activation,1.0,A
E2F1,WWOX,Repression,-1.0,A
E2F1,ULK1,Activation,1.0,A
E2F1,TOP2A,Activation,1.0,A
E2F1,ZNF350,Repression,-1.0,A
E2F1,RRP1B,Activation,1.0,A
E2F1,RRM2,Activation,1.0,A
E2F1,RRM1,Activation,1.0,A
E2F1,RASGRP1,Activation,1.0,A
E2F1,RASGEF1B,Activation,1.0,A
E2F1,NPAT,Activation,1.0,A
NFKB2,CCND2,Activation,1.0,A
ETS1,F13A1,Activation,1.0,A
ETS1,GP6,Activation,1.0,A
GATA3,IL12RB2,Repression,-1.0,A
GATA3,EPOR,Activation,1.0,A
GATA3,CDX2,Activation,1.0,A
GATA3,CDH1,Activation,1.0,A
GATA2,DPYSL2,Activation,1.0,A
FOXP3,CCR4,Activation,1.0,A
FOXP1,RAG1,Activation,1.0,A
FOXO4,TNFSF10,Activation,1.0,A
FOXM1,CDC25B,Activation,1.0,A
GATA3,NFKB1,Activation,1.0,A
FOXL2,SIRT1,Activation,1.0,A
FOXA2,CFTR,Repression,-1.0,A
FOXA1,RET,Activation,1.0,A
FOXA1,NF1,Activation,1.0,A
FOXA1,MYC,Activation,1.0,A
FOXA1,KRT7,Activation,1.0,A
FOXA1,CFTR,Repression,-1.0,A
FOXA1,ABCA1,Repression,-1.0,A
FOXA1,ESR1,Activation,1.0,A
